id,pathway_id,pathway_slug,pathway_title,step_number,title,description,type,is_optional
77dfa779-e5a1-4a6a-8c8a-64f66fec9762,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),1,Determine eligibility and gather required documents,"Review if you qualify as an international graduate or skilled worker. Confirm you meet language, education, and work experience requirements for your TEER category.",information,false
d8537f5e-8b43-4443-979c-045113fb3256,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),2,Secure job offer from designated employer,Find employment with a designated Atlantic employer in your province of choice. The employer must offer you a qualifying position in an eligible TEER category.,information,false
f955e3b3-e2fa-46ec-a0df-38685457954b,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),3,Develop settlement plan with service provider,Work with a settlement service provider to create a settlement plan outlining your integration into Atlantic Canada.,information,false
4c0d73cf-7f1a-4492-b92e-edb00d4dde71,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),4,Employer submits endorsement application,"Your designated employer submits an application for provincial endorsement to the department, including your settlement plan.",information,false
7a79985c-4fbc-4da6-84ac-3e08cc6f74c1,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),5,Receive provincial endorsement certificate,"Once approved, you receive a provincial endorsement certificate and may receive a work permit support letter if needed.",information,false
ebd2b6fc-3234-482a-bfaf-dc2e8be323ac,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),6,Apply for work permit (if required),Submit a work permit application using the work permit support letter while your permanent residence application is being processed.,information,true
65e9e23d-3739-4b0a-a52f-a5042105c2f5,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),7,Submit permanent residence application to IRCC,"Submit your PR application to Immigration, Refugees and Citizenship Canada along with your endorsement certificate and supporting documents.",information,false
395d8e3e-8fa6-4681-8c1f-9014b52cb552,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),8,IRCC reviews and approves PR application,"IRCC processes and reviews your permanent residence application. Once approved, you can travel to Atlantic Canada to live and work.",information,false
162633b9-fc1d-4aca-90d4-9adc00e9c64d,5c7bcebf-ab9a-4e4f-a0d6-44ab41d22ff7,canada-bowp,Bridging Open Work Permit (BOWP),1,Determine your permanent residence program,"Identify which PR program you applied for (Express Entry, PNP, Quebec skilled worker, Home Child Care/Support Worker Pilot, Caring for Children/High Medical Needs, Agri-Food Pilot, or Quebec investor). This determines your specific BOWP eligibility requirements.",information,false
23ca40dc-3958-4bad-bcb0-dfd3c36a3753,5c7bcebf-ab9a-4e4f-a0d6-44ab41d22ff7,canada-bowp,Bridging Open Work Permit (BOWP),2,Confirm eligibility requirements,"Verify you meet all core eligibility criteria: live in Canada (outside Quebec unless applicable), have valid or restorable work permit status, be principal applicant on PR application, have submitted complete PR application, and passed completeness check. Check program-specific requirements.",information,false
995f8c40-f00f-4cc4-87b7-a709f951f961,5c7bcebf-ab9a-4e4f-a0d6-44ab41d22ff7,canada-bowp,Bridging Open Work Permit (BOWP),3,Gather required documents,"Collect all supporting documents including acknowledgement of receipt letter, nomination letter (if applicable), approval in principle letter (if applicable), CSQ or permanent residence application number letter, and any documents listed in the official document checklist.",information,false
